index,DateTime,min,max,avg
397,2024-05-25 03:47:20,23.55,24.9,23.85
398,2024-05-25 04:47:20,22.2,23.4,22.65
399,2024-05-25 05:47:20,23.55,24.3,23.55
400,2024-05-25 06:47:20,23.4,24.45,23.85
401,2024-05-25 07:47:20,24.9,37.35,27.3
402,2024-05-25 08:47:20,21.75,33.75,24.6
403,2024-05-25 09:47:20,27.0,39.3,28.65
404,2024-05-25 10:47:20,25.95,39.75,29.85
405,2024-05-25 11:47:20,22.35,26.25,23.7
406,2024-05-25 12:47:20,23.85,30.0,25.5
407,2024-05-25 13:47:20,22.2,25.05,22.95
408,2024-05-25 14:47:20,20.7,43.65,26.7
409,2024-05-25 15:47:20,21.6,32.1,22.35
410,2024-05-25 16:47:20,24.15,37.35,26.7
411,2024-05-25 17:47:20,22.8,35.4,24.45
412,2024-05-25 18:47:20,25.5,39.45,27.45
413,2024-05-25 19:47:20,27.9,32.55,28.65
414,2024-05-25 20:47:20,26.85,30.6,27.3
415,2024-05-25 21:47:20,27.15,40.35,30.3
416,2024-05-25 22:47:20,27.15,30.3,27.75
417,2024-05-25 23:47:20,28.05,41.7,28.95
418,2024-05-26 00:47:20,26.1,40.2,28.95
419,2024-05-26 01:47:20,21.75,35.4,24.0
420,2024-05-26 02:47:20,23.4,32.1,25.2
421,2024-05-26 03:47:20,23.1,24.75,23.4
422,2024-05-26 04:47:20,23.1,24.0,23.4
423,2024-05-26 05:47:20,22.65,33.15,24.6
424,2024-05-26 06:47:20,23.4,23.85,23.55
425,2024-05-26 07:47:20,21.0,24.9,21.45
426,2024-05-26 08:47:20,20.1,20.85,20.4
427,2024-05-26 09:47:20,20.4,24.3,21.3
428,2024-05-26 10:47:20,18.6,30.6,20.55
429,2024-05-26 11:47:20,21.9,35.7,26.4
430,2024-05-26 12:47:20,22.8,30.3,23.7
431,2024-05-26 13:47:20,21.6,23.55,21.9
432,2024-05-26 14:47:20,22.65,37.65,24.75
433,2024-05-26 15:47:20,21.45,34.35,24.45
434,2024-05-26 16:47:20,20.55,34.35,22.65
435,2024-05-26 17:47:20,21.9,23.1,22.2
436,2024-05-26 18:47:20,26.4,41.25,30.3
437,2024-05-26 19:47:20,29.7,34.5,30.45
438,2024-05-26 20:47:20,31.05,47.55,36.3
439,2024-05-26 21:47:20,27.9,39.9,30.45
440,2024-05-26 22:47:20,27.15,28.05,27.15
441,2024-05-26 23:47:20,27.9,29.4,28.2
442,2024-05-27 00:47:20,26.25,38.7,28.8
443,2024-05-27 01:47:20,28.5,29.85,28.95
444,2024-05-27 02:47:20,27.45,30.75,27.75
445,2024-05-27 03:47:20,27.75,29.4,27.9
446,2024-05-27 04:47:20,24.75,26.1,24.9
447,2024-05-27 05:47:20,23.25,25.35,23.7
448,2024-05-27 06:47:20,27.75,39.6,30.3
449,2024-05-27 07:47:20,335.25,354.9,341.7
450,2024-05-27 08:47:20,370.65,384.15,374.4
451,2024-05-27 09:47:20,367.95,382.2,375.0
452,2024-05-27 10:47:20,364.5,387.3,371.7
453,2024-05-27 11:47:20,363.0,383.1,371.1
454,2024-05-27 12:47:20,349.35,363.9,355.05
455,2024-05-27 13:47:20,351.15,358.8,355.05
456,2024-05-27 14:47:20,366.9,381.75,370.95
457,2024-05-27 15:47:20,361.95,378.15,364.2
458,2024-05-27 16:47:20,35.85,50.4,42.15
459,2024-05-27 17:47:20,28.35,34.2,29.4
460,2024-05-27 18:47:20,26.7,40.2,31.2
461,2024-05-27 19:47:20,32.1,36.0,32.55
462,2024-05-27 20:47:20,32.7,49.65,38.85
463,2024-05-27 21:47:20,31.65,45.45,35.4
464,2024-05-27 22:47:20,30.9,45.15,34.65
465,2024-05-27 23:47:20,30.15,43.05,33.45
466,2024-05-28 00:47:20,29.55,33.0,30.0
467,2024-05-28 01:47:20,26.7,30.45,27.0
468,2024-05-28 02:47:20,27.15,28.5,27.6
469,2024-05-28 03:47:20,23.7,25.05,24.3
470,2024-05-28 04:47:20,25.35,26.25,25.8
471,2024-05-28 05:47:20,25.05,25.5,25.2
472,2024-05-28 06:47:20,24.9,25.5,25.05
473,2024-05-28 07:47:20,333.0,336.75,334.95
474,2024-05-28 08:47:20,349.8,362.1,351.6
475,2024-05-28 09:47:20,360.75,372.0,362.85
476,2024-05-28 10:47:20,375.3,391.95,378.9
477,2024-05-28 11:47:20,360.75,374.7,365.4
478,2024-05-28 12:47:20,357.15,368.55,361.35
479,2024-05-28 13:47:20,377.7,396.6,381.6
